Iteration				Integer Solution(theta(x))			L(delta)			Integral Gap
         1			  -54506.031885  				       828.694670934   			55334.7265559
         2			   -36228.18036  				       713.882749795   			36942.0631098
         3			  -33062.604551  				       636.236862594   			33698.8414136
         4			  -23983.252778  				       582.229528327   			24565.4823063
         5			  -22562.845018  				        544.37345426   			23107.2184723
         6			  -19453.926932  				       513.502367955   			19967.4293
         7			  -17848.046717  				       486.761077368   			18334.8077944
         8			  -13733.083604  				       463.379658923   			14196.4632629
         9			  -10451.485033  				        442.66530542   			10894.1503384
        10			   -8464.779425  				       426.111726614   			8890.89115161
        11			  -10894.777427  				       412.177041433   			11306.9544684
        12			   -9000.065282  				       400.365964126   			9400.43124613
        13			    -5938.52707  				       390.052664203   			6328.5797342
        14			    -4765.23683  				       380.638471943   			5145.87530194
        15			   -4799.506982  				       372.367580044   			5171.87456204
        16			   -3487.830145  				       364.826798773   			3852.65694377
        17			   -3482.986996  				       357.907325244   			3840.89432124
        18			   -3274.797874  				       351.478477632   			3626.27635163
        19			   -1845.315408  				       345.296855702   			2190.6122637
        20			   -1949.669616  				       339.090484851   			2288.76010085
        21			   -1912.321141  				       333.040148581   			2245.36128958
        22			   -1987.840563  				       327.648600499   			2315.4891635
        23			    -2302.12793  				       322.777453971   			2624.90538397
        24			   -3359.143234  				       318.467709872   			3677.61094387
        25			    -3348.82665  				       314.351090234   			3663.17774023
        26			    -706.827035  				       310.625388203   			1017.4524232
        27			     -673.96139  				        307.14450027   			981.10589027
        28			    -669.893192  				       303.837082002   			973.730274002
        29			    -637.911001  				       300.579236724   			938.490237724
        30			    -687.263844  				       297.424943185   			984.688787185
        31			    -540.429116  				       294.585112225   			835.014228225
        32			   -1075.159652  				       291.859931483   			1367.01958348
        33			   -1105.994747  				       289.235282414   			1395.23002941
        34			   -1266.787127  				       286.695647559   			1553.48277456
        35			   -1281.656128  				       284.339012918   			1565.99514092
        36			   -1200.556183  				        281.95407989   			1482.51026289
        37			   -1190.543848  				       279.628635698   			1470.1724837
        38			    -1069.42448  				       277.877167419   			1347.30164742
        39			    -842.949591  				       276.458163283   			1119.40775428
        40			     -841.83423  				       275.154232823   			1116.98846282
        41			    -824.734811  				       273.964616942   			1098.69942794
        42			     -805.71118  				       272.907718856   			1078.61889886
        43			    -805.961183  				        271.97274587   			1077.93392887
        44			    -583.227088  				       271.151680206   			854.378768206
        45			    -630.147145  				       270.401895412   			900.549040412
        46			    -628.764119  				       269.685779789   			898.449898789
        47			    -601.399946  				       269.035508587   			870.435454587
        48			    -601.443022  				       268.419980019   			869.863002019
        49			    -632.252096  				       267.852742284   			900.104838284
        50			    -632.247422  				       267.319846759   			899.567268759
        51			    -632.247422  				       266.814543499   			899.061965499
        52			    -167.347993  				       266.336071923   			433.684064923
        53			    -167.347993  				        265.88831408   			433.23630708
        54			    -133.678108  				       265.456258593   			399.134366593
