Iteration				Integer Solution(theta(x))			L(delta)			Integral Gap
         1			  -24216.019751  				       623.992282422   			24840.0120334
         2			  -22943.368207  				       577.432523752   			23520.8007308
         3			   -16462.75536  				       547.009641155   			17009.7650012
         4			   -14493.52178  				       528.137646635   			15021.6594266
         5			  -12625.978022  				       514.419427106   			13140.3974491
         6			  -13494.879393  				       502.535241109   			13997.4146341
         7			  -12428.940016  				       491.676393951   			12920.61641
         8			  -10471.423692  				       482.419142472   			10953.8428345
         9			   -7591.075593  				       474.653932177   			8065.72952518
        10			    -5184.80011  				       467.918453228   			5652.71856323
        11			    -4021.87084  				        462.36197998   			4484.23281998
        12			   -3610.336033  				       457.337952235   			4067.67398524
        13			   -3325.621287  				       452.470791501   			3778.0920785
        14			   -3454.586078  				       447.846461834   			3902.43253983
        15			   -2140.298035  				       443.518483616   			2583.81651862
        16			   -2118.914773  				       439.372130762   			2558.28690376
        17			   -2117.080799  				       435.388177162   			2552.46897616
        18			    -533.436952  				       431.633259412   			965.070211412
        19			    -714.435345  				       427.994845546   			1142.43019055
        20			    -265.269253  				       424.460271929   			689.729524929
        21			    -391.117254  				       421.170673761   			812.287927761
        22			    -387.944624  				        418.08994448   			806.03456848
        23			    -387.681554  				        415.05179725   			802.73335125
        24			    -387.372691  				       412.092521634   			799.465212634
        25			    -108.582189  				        409.29586537   			517.87805437
        26			     -109.53332  				       406.639606556   			516.172926556
        27			    -429.905651  				       404.031205723   			833.936856723
        28			    -429.905651  				       401.485220979   			831.390871979
        29			    -449.382155  				       398.883918832   			848.266073832
        30			    -448.012316  				        396.29605206   			844.30836806
        31			    -446.417486  				       393.703713675   			840.121199675
        32			      75.538547  				       391.228830897   			315.690283897
        33			      75.550095  				        388.78761633   			313.23752133
        34			      75.655666  				        386.48466638   			310.82900038
        35			      51.860254  				       384.352802565   			332.492548565
        36			     113.544648  				       382.360708675   			268.816060675
        37			     114.353749  				       380.469400359   			266.115651359
        38			     114.353749  				       378.663125739   			264.309376739
        39			     113.886733  				       376.951801285   			263.065068285
        40			     133.276145  				       375.306127324   			242.029982324
        41			     139.331157  				       373.787871728   			234.456714728
        42			     153.290725  				       372.356563833   			219.065838833
        43			      102.87489  				       370.996421773   			268.121531773
        44			      102.87489  				       369.660636323   			266.785746323
        45			     180.602772  				       368.309817992   			187.707045992
        46			     180.736944  				       366.910347258   			186.173403258
        47			     181.602456  				       365.491454493   			183.888998493
        48			     182.153405  				       364.049305722   			181.895900722
        49			     186.900795  				       362.622492482   			175.721697482
        50			     186.900795  				       361.401456021   			174.500661021
        51			     186.900795  				       360.480320134   			173.579525134
        52			     186.900795  				       359.603878724   			172.703083724
        53			     339.822171  				       358.792679549   			18.9705085495
        54			     339.822171  				       358.057920259   			18.2357492594
        55			     339.822171  				       357.387824932   			17.5656539319
        56			     339.898255  				        356.76681885   			16.8685638497
        57			     339.898255  				       356.173843233   			16.2755882333
