#Train-Size      #Avg-Token Error(Test)    #Avg-Token Error(Train)
100              0.1432                         0.0522
200              0.1360                         0.0678
300              0.1320                         0.0782
400              0.1185                         0.0801
500              0.1125                         0.0855
600              0.1110                         0.0882
700              0.1092                         0.0898
800              0.1022                         0.0901
900              0.0988                         0.0908
1000             0.0999                         0.0922

